event_name,date,day_type,sector_zone,parking_walk_km,shuttle_distance_km,has_expanded_ghat,throughput_tier,days_since_start,festival_proximity_days,temperature_c,crowd_risk_level,is_synthetic,data_source_notes
Nashik 2027 Simulation Day 36,2027-08-06,Shahi Snan,Trimbakeshwar Inner Ghats,3.07,8.71,0,2,35,0,26.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Amavasya,Tapovan,1.53,5.66,1,1,57,0,22.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Ram Kund - Panchavati,2.5,10.24,1,2,11,1,23.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Amavasya,Trimbakeshwar Inner Ghats,1.61,10.49,0,3,19,0,30.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Amavasya,Ram Kund - Panchavati,2.75,11.09,1,1,22,0,25.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 19,2027-08-19,Normal Day,Ram Kund - Panchavati,2.65,7.5,1,2,18,3,25.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Normal Day,Sadhugram,1.12,4.48,1,1,41,6,23.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Normal Day,Sadhugram,0.86,7.53,1,1,19,1,25.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Weekend,Ram Kund - Panchavati,1.21,9.06,1,1,49,6,23.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 25,2027-08-25,Normal Day,Ram Kund - Panchavati,1.61,7.48,1,2,24,1,23.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Shahi Snan,Sadhugram,1.0,3.26,1,1,36,0,25.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 27,2027-08-27,Normal Day,Trimbakeshwar Inner Ghats,2.51,8.65,0,2,26,4,32.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Tapovan,0.91,9.01,1,1,38,3,22.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 49,2027-08-19,Normal Day,Sadhugram,0.6,7.7,1,1,48,2,27.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Normal Day,Ram Kund - Panchavati,1.53,9.25,1,1,40,5,24.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 6,2027-08-06,Normal Day,Ram Kund - Panchavati,2.64,9.8,1,1,5,6,31.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Amavasya,Ram Kund - Panchavati,1.33,6.97,1,2,38,0,22.1,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Normal Day,Tapovan,1.99,5.06,0,1,29,3,24.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Sadhugram,0.59,4.84,1,1,39,4,25.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Weekend,Tapovan,1.6,9.19,1,1,21,4,29.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Weekend,Ram Kund - Panchavati,1.65,11.3,1,3,59,3,26.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 18,2027-08-18,Shahi Snan,Trimbakeshwar Inner Ghats,2.15,14.81,0,2,17,0,29.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Shahi Snan,Tapovan,0.88,5.25,1,1,55,0,25.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 43,2027-08-13,Amavasya,Ram Kund - Panchavati,1.78,7.76,1,3,42,0,33.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Shahi Snan,Tapovan,1.55,5.17,0,1,0,0,22.7,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 28,2027-08-28,Weekend,Sadhugram,0.79,5.95,1,1,27,3,22.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Normal Day,Sadhugram,1.27,4.08,1,1,7,3,30.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Weekend,Trimbakeshwar Inner Ghats,2.71,8.33,0,3,7,7,31.7,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Normal Day,Tapovan,1.64,6.45,0,1,57,6,25.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Weekend,Outer Transit & Parking,2.99,13.49,0,1,38,3,31.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Tapovan,0.82,4.7,0,1,21,5,33.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Normal Day,Outer Transit & Parking,2.65,13.19,0,1,28,1,30.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 16,2027-08-16,Weekend,Tapovan,1.92,7.01,1,2,15,1,30.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Amavasya,Trimbakeshwar Inner Ghats,2.59,11.67,1,3,23,0,27.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 13,2027-08-13,Shahi Snan,Tapovan,1.13,5.29,1,1,12,0,30.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Tapovan,1.14,4.71,1,2,1,6,33.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Weekend,Outer Transit & Parking,2.64,14.55,0,1,58,3,29.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Outer Transit & Parking,3.11,11.91,0,1,14,4,26.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Trimbakeshwar Inner Ghats,3.02,11.11,0,3,49,2,23.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Shahi Snan,Sadhugram,0.58,3.46,1,1,29,0,29.8,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Weekend,Outer Transit & Parking,3.18,10.73,0,1,45,5,28.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Outer Transit & Parking,2.21,16.09,0,1,21,1,30.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Outer Transit & Parking,3.34,11.17,0,1,13,2,28.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Amavasya,Trimbakeshwar Inner Ghats,3.04,12.74,0,3,14,0,28.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Sadhugram,0.93,4.27,1,1,14,2,27.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Weekend,Ram Kund - Panchavati,1.58,8.4,1,1,44,4,28.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Normal Day,Tapovan,0.85,9.35,1,2,0,7,23.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Ram Kund - Panchavati,2.79,10.18,1,2,13,2,33.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 7,2027-08-07,Shahi Snan,Trimbakeshwar Inner Ghats,2.07,9.36,1,2,6,0,25.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Normal Day,Sadhugram,0.81,7.07,1,1,41,3,30.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Sadhugram,1.23,6.07,1,1,49,7,27.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Shahi Snan,Ram Kund - Panchavati,2.4,8.36,1,2,22,0,22.8,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Normal Day,Ram Kund - Panchavati,2.31,9.21,1,3,0,1,29.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 28,2027-08-28,Normal Day,Outer Transit & Parking,3.43,14.85,0,1,27,1,25.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Weekend,Tapovan,1.61,7.12,1,1,21,1,33.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 36,2027-08-06,Amavasya,Ram Kund - Panchavati,1.97,8.52,1,2,35,0,32.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Shahi Snan,Trimbakeshwar Inner Ghats,2.53,13.09,1,2,58,0,31.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Shahi Snan,Tapovan,1.94,4.88,1,1,51,0,25.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Normal Day,Tapovan,1.05,7.48,1,1,37,2,28.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 11,2027-08-11,Weekend,Trimbakeshwar Inner Ghats,3.02,11.79,1,2,10,2,24.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Normal Day,Outer Transit & Parking,2.05,14.39,0,1,20,2,28.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Normal Day,Tapovan,1.76,7.77,0,2,41,1,34.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Normal Day,Tapovan,1.52,9.92,1,2,52,1,25.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 3,2027-08-03,Weekend,Tapovan,1.66,9.37,1,1,2,2,23.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Sadhugram,1.24,3.91,1,1,23,1,29.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Normal Day,Ram Kund - Panchavati,2.0,6.52,1,2,40,5,31.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Normal Day,Sadhugram,1.4,6.04,1,1,22,2,25.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 7,2027-08-07,Shahi Snan,Outer Transit & Parking,2.23,11.97,0,1,6,0,24.1,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Normal Day,Ram Kund - Panchavati,1.86,11.89,0,1,4,3,34.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Sadhugram,1.04,5.38,1,1,49,5,32.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Normal Day,Tapovan,1.41,5.45,0,2,19,3,25.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 36,2027-08-06,Normal Day,Sadhugram,0.95,5.74,1,1,35,2,29.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 6,2027-08-06,Normal Day,Tapovan,0.8,4.7,1,2,5,1,32.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 57,2027-08-27,Shahi Snan,Sadhugram,0.68,3.33,1,1,56,0,31.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 9,2027-08-09,Weekend,Outer Transit & Parking,2.3,11.31,0,1,8,5,24.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 19,2027-08-19,Normal Day,Trimbakeshwar Inner Ghats,2.66,11.62,1,3,18,4,30.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Ram Kund - Panchavati,1.81,9.26,1,2,13,6,23.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Normal Day,Trimbakeshwar Inner Ghats,2.41,15.15,1,2,47,4,26.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 3,2027-08-03,Normal Day,Ram Kund - Panchavati,2.42,11.26,1,3,2,4,23.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Normal Day,Trimbakeshwar Inner Ghats,2.59,13.55,1,2,43,5,26.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Normal Day,Tapovan,1.31,5.73,1,2,20,2,23.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Weekend,Sadhugram,1.2,7.61,1,1,55,4,31.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Normal Day,Trimbakeshwar Inner Ghats,1.63,8.83,1,3,22,1,23.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Normal Day,Ram Kund - Panchavati,1.56,9.65,1,2,19,2,24.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Weekend,Tapovan,1.44,9.52,1,1,20,2,31.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Sadhugram,0.67,3.17,1,1,14,4,26.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Weekend,Sadhugram,1.16,3.89,1,1,37,1,34.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Outer Transit & Parking,2.46,13.18,0,1,11,2,27.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Weekend,Outer Transit & Parking,3.25,14.7,0,1,37,2,25.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 25,2027-08-25,Normal Day,Ram Kund - Panchavati,1.45,7.09,1,3,24,4,26.9,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 25,2027-08-25,Normal Day,Tapovan,0.99,8.3,1,1,24,1,24.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Normal Day,Ram Kund - Panchavati,2.24,7.43,0,1,47,1,31.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Amavasya,Sadhugram,1.44,3.71,1,1,57,0,27.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 13,2027-08-13,Weekend,Ram Kund - Panchavati,1.49,9.5,1,3,12,1,32.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Tapovan,0.84,8.98,1,2,49,2,26.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 9,2027-08-09,Shahi Snan,Trimbakeshwar Inner Ghats,2.98,11.9,1,3,8,0,27.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Normal Day,Ram Kund - Panchavati,1.61,6.84,1,3,32,4,28.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 32,2027-08-02,Normal Day,Tapovan,1.4,4.4,1,1,31,6,31.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 16,2027-08-16,Normal Day,Outer Transit & Parking,3.1,12.01,0,1,15,2,30.2,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Amavasya,Outer Transit & Parking,2.78,10.38,0,1,22,0,24.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 6,2027-08-06,Weekend,Sadhugram,0.57,7.19,1,1,5,5,27.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Weekend,Tapovan,0.96,6.9,1,1,23,7,24.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Amavasya,Ram Kund - Panchavati,2.15,8.01,1,1,29,0,23.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 28,2027-08-28,Weekend,Tapovan,0.89,4.01,1,1,27,1,23.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Normal Day,Sadhugram,1.45,5.23,1,1,55,1,24.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Weekend,Outer Transit & Parking,2.96,17.84,0,1,45,5,33.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Weekend,Sadhugram,0.54,6.53,1,1,59,7,34.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Shahi Snan,Outer Transit & Parking,2.29,10.92,0,1,43,0,27.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 51,2027-08-21,Weekend,Trimbakeshwar Inner Ghats,2.91,8.3,1,2,50,2,23.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 35,2027-08-05,Normal Day,Trimbakeshwar Inner Ghats,2.42,13.29,1,3,34,6,27.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Amavasya,Tapovan,1.84,4.13,1,1,1,0,34.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Normal Day,Outer Transit & Parking,2.41,13.19,0,1,28,4,23.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Normal Day,Trimbakeshwar Inner Ghats,1.69,10.84,0,2,44,2,25.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Trimbakeshwar Inner Ghats,2.84,8.72,0,3,13,7,34.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Normal Day,Outer Transit & Parking,2.1,13.21,0,1,59,5,32.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 11,2027-08-11,Normal Day,Sadhugram,0.69,6.9,1,1,10,2,26.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 32,2027-08-02,Normal Day,Ram Kund - Panchavati,2.04,7.56,1,2,31,4,35.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Weekend,Outer Transit & Parking,2.87,10.73,0,1,32,4,33.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
